#SN      Host Galaxy      Date         R.A.    Decl.    Offset   Mag.   Disc. Ref.            SN Position         Posn. Ref.       Type  SN      Discoverer(s)

2007nq  UGC 595          2007 10 21  00 57.7 -01 23   20W   9N  17.6   CBET 1106       00 57 33.57 -01 23 19.0   CBET 1106        Ia    2007nq  Quimby et al.
2007np  Anon.            2007 10 10  01 58.8 -02 26             20.2   CBET 1105       01 58 49.66 -02 26 27.5   CBET 1105        Ia?   2007np  Djorgovski et al. (Palomar-Quest)
2007no  Anon.            2007 10 09  02 41.1 -03 38             20.5   CBET 1105       02 41 05.70 -03 38 14.1   CBET 1105        Ia    2007no  Djorgovski et al. (Palomar-Quest)
2007nn  Anon.            2007 10 08  23 06.5 +09 54             19.5   CBET 1105       23 06 27.43 +09 53 42.6   CBET 1105        Ia    2007nn  Djorgovski et al. (Palomar-Quest)
2007nm  Anon.            2007 10 08  22 45.5 +10 40             19.6   CBET 1105       22 45 27.42 +10 39 32.7   CBET 1105        Ic    2007nm  Djorgovski et al. (Palomar-Quest)
2007nl  Anon.            2007 10 13  23 13.7 -00 04             21.8   CBET 1104       23 13 44.92 -00 04 03.5   CBET 1104        II    2007nl  Sloan Digital Sky Survey II
2007nk  Anon.            2007 10 13  03 20.9 +01 03             21.5   CBET 1104       03 20 56.52 +01 03 29.3   CBET 1104        Ia    2007nk  Sloan Digital Sky Survey II
2007nj  Anon.            2007 10 11  02 52.5 +00 15             21.9   CBET 1104       02 52 27.45 +00 15 06.6   CBET 1104        Ia    2007nj  Sloan Digital Sky Survey II
2007ni  Anon.            2007 10 09  02 05.8 -00 20             21.8   CBET 1104       02 05 50.39 -00 19 54.7   CBET 1104        Ia    2007ni  Sloan Digital Sky Survey II
2007nh  Anon.            2007 10 08  02 50.5 -00 33             21.8   CBET 1104       02 50 27.69 -00 33 04.2   CBET 1104        Ia    2007nh  Sloan Digital Sky Survey II
2007ng  Anon.            2007 10 08  02 25.6 +00 43             23.2   CBET 1104       02 25 38.10 +00 42 34.5   CBET 1104        Ia    2007ng  Sloan Digital Sky Survey II
2007nf  Anon.            2007 10 08  01 03.4 +00 20             22.8   CBET 1104       01 03 26.47 +00 19 53.0   CBET 1104        Ia    2007nf  Sloan Digital Sky Survey II
2007ne  Anon.            2007 10 08  00 54.0 +01 04             22.2   CBET 1104       00 54 02.20 +01 04 08.4   CBET 1104        Ia    2007ne  Sloan Digital Sky Survey II
2007nd  Anon.            2007 10 08  00 40.3 -01 02             21.8   CBET 1104       00 40 18.81 -01 02 14.5   CBET 1104        Ia    2007nd  Sloan Digital Sky Survey II
2007nc  Anon.            2007 10 08  00 01.2 +01 04             22.5   CBET 1104       00 01 09.30 +01 04 06.5   CBET 1104        Ib?   2007nc  Sloan Digital Sky Survey II
2007nb  Anon.            2007 10 06  23 25.5 +00 25             22.1   CBET 1104       23 25 30.06 +00 25 23.1   CBET 1104        Ia    2007nb  Sloan Digital Sky Survey II
2007na  Anon.            2007 10 06  22 13.5 +00 53             22.8   CBET 1104       22 13 32.79 +00 52 49.8   CBET 1104        Ia    2007na  Sloan Digital Sky Survey II
2007mz  Anon.            2007 10 06  22 07.9 -01 04             22.2   CBET 1104       22 07 51.20 -01 04 11.8   CBET 1104        Ia    2007mz  Sloan Digital Sky Survey II
2007my  Anon.            2007 10 06  21 55.5 -00 22             21.8   CBET 1104       21 55 32.20 -00 22 19.2   CBET 1104        Ia    2007my  Sloan Digital Sky Survey II
2007mx  Anon.            2007 10 06  21 14.2 -00 18             22.7   CBET 1104       21 14 10.87 -00 17 46.5   CBET 1104        Ia    2007mx  Sloan Digital Sky Survey II
2007mw  Anon.            2007 10 03  23 03.0 +00 51             22.4   CBET 1104       23 03 02.76 +00 50 57.0   CBET 1104        Ia    2007mw  Sloan Digital Sky Survey II
2007mv  Anon.            2007 09 22  00 35.6 +00 22             22.3   CBET 1104       00 35 37.37 +00 22 12.1   CBET 1104        Ia    2007mv  Sloan Digital Sky Survey II
2007mu  Anon.            2007 09 22  00 12.3 -00 05             22.0   CBET 1104       00 12 18.56 -00 04 38.3   CBET 1104        Ia    2007mu  Sloan Digital Sky Survey II
2007mt  Anon.            2007 09 19  01 45.9 -00 13             23.1   CBET 1104       01 45 56.59 -00 13 03.5   CBET 1104        Ia?   2007mt  Sloan Digital Sky Survey II
2007ms  Anon.            2007 09 13  20 32.3 -01 01             20.7   CBET 1104       20 32 18.34 -01 00 53.1   CBET 1104        II-p  2007ms  Sloan Digital Sky Survey II
2007mr  Anon.            2007 09 05  20 08.3 -00 40             21.3   CBET 1104       20 08 18.00 -00 39 44.7   CBET 1104        II    2007mr  Sloan Digital Sky Survey II
2007mq  UGC 11495        2007 10 15  19 35.0 +87 17    9W   3N  19.6   CBET 1103       19 34 57.90 +87 16 33.6   CBET 1103        ?     2007mq  Sehgal, Cox, Puckett
2007mp  Anon.            2007 10 12  21 16.6 -00 46             21.5   CBET 1102       21 16 35.63 -00 46 11.6   CBET 1102        Ia    2007mp  Sloan Digital Sky Survey II
2007mo  Anon.            2007 10 09  22 11.6 +00 46             21.7   CBET 1102       22 11 33.85 +00 45 53.2   CBET 1102        Ia    2007mo  Sloan Digital Sky Survey II
2007mn  Anon.            2007 10 09  02 05.1 +00 10             21.9   CBET 1102       02 05 03.96 +00 10 28.4   CBET 1102        Ia    2007mn  Sloan Digital Sky Survey II
2007mm  Anon.            2007 10 09  01 05.8 -00 46             21.1   CBET 1102       01 05 46.67 -00 45 31.8   CBET 1102        Ia    2007mm  Sloan Digital Sky Survey II
2007ml  Anon.            2007 10 09  00 31.9 +00 08             21.8   CBET 1102       00 31 53.46 +00 08 17.9   CBET 1102        Ia    2007ml  Sloan Digital Sky Survey II
2007mk  Anon.            2007 10 08  23 56.3 -00 30             22.1   CBET 1102       23 56 17.33 -00 30 21.1   CBET 1102        Ia    2007mk  Sloan Digital Sky Survey II
2007mj  Anon.            2007 10 08  03 34.7 +00 21             20.4   CBET 1102       03 34 44.44 +00 21 19.9   CBET 1102        Ia    2007mj  Sloan Digital Sky Survey II
2007mi  Anon.            2007 10 08  03 23.5 +00 40             19.9   CBET 1102       03 23 31.52 +00 39 60.0   CBET 1102        Ia    2007mi  Sloan Digital Sky Survey II
2007mh  Anon.            2007 10 08  03 14.5 +00 16             19.9   CBET 1102       03 14 31.77 +00 16 11.4   CBET 1102        Ia    2007mh  Sloan Digital Sky Survey II
2007mg  Anon.            2007 10 08  03 06.6 +00 48             21.1   CBET 1102       03 06 33.83 +00 47 35.9   CBET 1102        Ia    2007mg  Sloan Digital Sky Survey II
2007mf  Anon.            2007 10 08  01 58.9 -01 02             21.3   CBET 1102       01 58 55.14 -01 01 37.5   CBET 1102        Ia    2007mf  Sloan Digital Sky Survey II
2007me  Anon.            2007 10 08  01 41.1 -00 27             21.1   CBET 1102       01 41 03.75 -00 26 54.5   CBET 1102        Ia/c? 2007me  Sloan Digital Sky Survey II
2007md  Anon.            2007 10 08  01 21.9 -01 01             20.7   CBET 1102       01 21 56.85 -01 00 47.8   CBET 1102        Ic    2007md  Sloan Digital Sky Survey II
2007mc  Anon.            2007 10 08  01 07.4 +01 03             20.8   CBET 1102       01 07 25.28 +01 02 37.5   CBET 1102        Ia    2007mc  Sloan Digital Sky Survey II
2007mb  Anon.            2007 10 08  00 50.2 +00 41             21.1   CBET 1102       00 50 11.36 +00 40 31.5   CBET 1102        Ia    2007mb  Sloan Digital Sky Survey II
2007ma  Anon.            2007 10 08  00 44.9 -00 60             19.1   CBET 1102       00 44 53.75 -00 59 49.3   CBET 1102        Ia    2007ma  Sloan Digital Sky Survey II
2007lz  Anon.            2007 10 08  00 31.4 +00 19             21.0   CBET 1102       00 31 23.21 +00 19 08.1   CBET 1102        II    2007lz  Sloan Digital Sky Survey II
2007ly  Anon.            2007 10 08  00 22.9 +00 47             20.1   CBET 1102       00 22 53.38 +00 46 33.4   CBET 1102        Ia    2007ly  Sloan Digital Sky Survey II
2007lx  MCG +00-1-36     2007 10 08  00 11.7 -00 28             20.5   CBET 1102       00 11 39.27 -00 28 24.1   CBET 1102        II?   2007lx  Sloan Digital Sky Survey II
2007lw  Anon.            2007 10 06  23 36.8 -00 47             21.7   CBET 1102       23 36 48.90 -00 46 56.1   CBET 1102        Ia    2007lw  Sloan Digital Sky Survey II
2007lv  Anon.            2007 10 06  23 24.8 +00 57             20.5   CBET 1102       23 24 47.98 +00 56 40.4   CBET 1102        Ia?   2007lv  Sloan Digital Sky Survey II
2007lu  Anon.            2007 10 06  22 01.6 -00 15             22.3   CBET 1102       22 01 34.90 -00 15 24.8   CBET 1102        Ia    2007lu  Sloan Digital Sky Survey II
2007lt  Anon.            2007 10 06  21 53.8 +00 01             19.9   CBET 1102       21 53 47.34 +00 00 54.2   CBET 1102        Ia    2007lt  Sloan Digital Sky Survey II
2007ls  Anon.            2007 10 06  20 28.5 +00 00             21.7   CBET 1102       20 28 28.07 +00 00 22.4   CBET 1102        Ia    2007ls  Sloan Digital Sky Survey II
2007lr  Anon.            2007 10 06  00 49.0 -00 19             22.1   CBET 1102       00 49 00.34 -00 19 26.4   CBET 1102        Ia    2007lr  Sloan Digital Sky Survey II
2007lq  Anon.            2007 10 06  00 23.1 +00 59             21.5   CBET 1102       00 23 07.87 +00 59 00.5   CBET 1102        Ia?   2007lq  Sloan Digital Sky Survey II
2007lp  Anon.            2007 10 03  22 43.7 +00 25             22.2   CBET 1102       22 43 41.01 +00 25 16.9   CBET 1102        Ia    2007lp  Sloan Digital Sky Survey II
2007lo  Anon.            2007 10 03  22 35.9 +00 37             22.1   CBET 1102       22 35 56.06 +00 36 33.2   CBET 1102        Ia    2007lo  Sloan Digital Sky Survey II
2007ln  Anon.            2007 10 03  03 40.7 +01 00             21.8   CBET 1102       03 40 43.21 +01 00 11.0   CBET 1102        Ia?   2007ln  Sloan Digital Sky Survey II
2007lm  Anon.            2007 10 03  03 13.7 +00 38             21.4   CBET 1102       03 13 40.44 +00 37 47.9   CBET 1102        Ia    2007lm  Sloan Digital Sky Survey II
2007ll  Anon.            2007 10 03  01 58.7 -00 15             20.5   CBET 1102       01 58 40.13 -00 14 56.6   CBET 1102        II?   2007ll  Sloan Digital Sky Survey II
2007lk  Anon.            2007 10 03  01 57.8 -00 24             21.0   CBET 1102       01 57 50.11 -00 23 53.2   CBET 1102        Ia?   2007lk  Sloan Digital Sky Survey II
2007lj  Anon.            2007 09 30  21 28.7 -00 04             20.6   CBET 1102       21 28 41.93 -00 04 02.1   CBET 1102        II    2007lj  Sloan Digital Sky Survey II
2007li  Anon.            2007 09 22  01 13.1 -00 32             21.4   CBET 1102       01 13 04.01 -00 32 24.0   CBET 1102        Ia    2007li  Sloan Digital Sky Survey II
2007lh  Anon.            2007 09 22  01 08.9 +01 12             22.3   CBET 1102       01 08 52.02 +01 11 52.4   CBET 1102        Ia    2007lh  Sloan Digital Sky Survey II
2007lg  Anon.            2007 09 22  00 46.1 -00 01             21.9   CBET 1102       00 46 03.95 -00 00 37.4   CBET 1102        Ia    2007lg  Sloan Digital Sky Survey II
2007lf  Anon.            2007 09 03  00 16.8 +01 12             20.5   CBET 1102       00 16 45.46 +01 12 03.2   CBET 1102        Ia    2007lf  Sloan Digital Sky Survey II
2007le  NGC 7721         2007 10 13  23 38.8 -06 31    4W  17S  15.2   CBET 1100       23 38 48.41 -06 31 21.3   CBET 1100        Ia    2007le  Monard
2007ld  Anon.            2007 10 06  20 49.5 +00 00             17.9   CBET 1098       20 49 29.59 +00 00 14.0   CBET 1098        II    2007ld  Sloan Digital Sky Survey II
2007lc  Anon.            2007 10 06  00 49.2 +00 36             19.6   CBET 1098       00 49 09.10 +00 35 49.2   CBET 1098        Ia    2007lc  Sloan Digital Sky Survey II
2007lb  Anon.            2007 10 03  03 49.2 -00 44             19.0   CBET 1098       03 49 09.53 -00 44 09.2   CBET 1098        II    2007lb  Sloan Digital Sky Survey II
2007la  Anon.            2007 09 30  22 29.9 +01 04             20.4   CBET 1098       22 29 54.78 +01 03 30.9   CBET 1098        Ia    2007la  Sloan Digital Sky Survey II
2007kz  Anon.            2007 09 22  03 36.1 -00 12             21.8   CBET 1098       03 36 04.57 -00 12 04.4   CBET 1098        II    2007kz  Sloan Digital Sky Survey II
2007ky  Anon.            2007 09 22  01 06.2 -00 37             20.7   CBET 1098       01 06 11.53 -00 36 50.9   CBET 1098        II    2007ky  Sloan Digital Sky Survey II
2007kx  Anon.            2007 09 22  00 13.7 +00 39             20.8   CBET 1098       00 13 42.88 +00 39 07.8   CBET 1098        Ia    2007kx  Sloan Digital Sky Survey II
2007kw  Anon.            2007 09 19  02 10.3 -00 16             20.2   CBET 1098       02 10 16.84 -00 15 57.1   CBET 1098        II    2007kw  Sloan Digital Sky Survey II
2007kv  Anon.            2007 09 19  01 10.3 +00 28             22.1   CBET 1098       01 10 15.84 +00 28 19.3   CBET 1098        Ia    2007kv  Sloan Digital Sky Survey II
2007ku  Anon.            2007 09 16  01 33.5 +00 31             22.7   CBET 1098       01 33 28.21 +00 31 28.8   CBET 1098        Ia    2007ku  Sloan Digital Sky Survey II
2007kt  Anon.            2007 09 15  01 50.4 +01 10             21.2   CBET 1098       01 50 23.96 +01 10 19.5   CBET 1098        Ia    2007kt  Sloan Digital Sky Survey II
2007ks  Anon.            2007 09 14  20 49.6 -00 46             22.9   CBET 1098       20 49 33.06 -00 45 42.2   CBET 1098        Ia    2007ks  Sloan Digital Sky Survey II
2007kr  Anon.            2007 09 14  00 25.5 -00 50             22.0   CBET 1098       00 25 27.50 -00 50 22.5   CBET 1098        Ia/c? 2007kr  Sloan Digital Sky Survey II
2007kq  Anon.            2007 09 14  00 19.7 -00 24             22.5   CBET 1098       00 19 43.91 -00 24 00.5   CBET 1098        Ia    2007kq  Sloan Digital Sky Survey II
2007kp  Anon.            2007 09 13  22 09.5 +00 44             22.3   CBET 1098       22 09 29.59 +00 44 16.4   CBET 1098        Ia    2007kp  Sloan Digital Sky Survey II
2007ko  Anon.            2007 09 13  21 04.4 -00 54             21.8   CBET 1098       21 04 22.37 -00 53 52.8   CBET 1098        Ia    2007ko  Sloan Digital Sky Survey II
2007kn  Anon.            2007 09 13  20 48.2 -01 01             22.0   CBET 1098       20 48 09.42 -01 00 55.4   CBET 1098        II?   2007kn  Sloan Digital Sky Survey II
2007km  Anon.            2007 09 04  02 48.3 -00 17             21.1   CBET 1098       02 48 20.07 -00 17 17.3   CBET 1098        Ia    2007km  Sloan Digital Sky Survey II
2007kl  Anon.            2007 09 03  02 44.8 +00 22             21.9   CBET 1098       02 44 50.90 +00 21 53.4   CBET 1098        Ia    2007kl  Sloan Digital Sky Survey II
2007kk  UGC 2828         2007 09 28  03 42.4 +39 15    9W  10S  18.3   CBET 1096       03 42 23.26 +39 14 30.4   CBET 1096        Ia    2007kk  Parisky, Li (LOSS)
2007kj  NGC 7803         2007 10 02  00 01.3 +13 07    6W  10S  17.4   CBET 1092       00 01 19.58 +13 06 30.6   CBET 1092        Ib/c  2007kj  Itagaki
2007ki  MCG +05-17-10    2007 09 27  07 06.0 +28 18    5W   1S  18.4   CBET 1090       07 06 00.90 +28 17 45.4   CBET 1090        Ia    2007ki  Madison, Li (LOSS)
2007kh  Anon.            2007 09 07  03 15.2 +43 10             18.9   CBET 1089       03 15 12.10 +43 10 13.0   CBET 1089        Ia    2007kh  Yuan et al. (ROTSE)
2007kg  Anon.            2007 09 22  23 58.6 +60 59    7E   6N  17.1   CBET 1086       23 58 37.43 +60 59 06.7   IAUC 8875        Ia    2007kg  Mikuz
2007kf  Anon.            2007 09 22  17 31.5 +69 19    2E   5S  17.0   CBET 1085       17 31 31.76 +69 18 40.1   IAUC 8875        Ia    2007kf  Kloehr
2007ke  NGC 1129         2007 09 24  02 54.4 +41 34   39W  30S  18.5   CBET 1084       02 54 23.90 +41 34 16.3   CBET 1084        Ib    2007ke  Chu, Li (LOSS)
2007kd  MCG +6-21-36     2007 09 23  09 26.0 +34 38    3E  12N  16.6   CBET 1083       09 25 58.01 +34 37 59.3   IAUC 8874        Ia    2007kd  Villi
2007kc  UGC 8400         2007 09 21  13 21.6 +42 17   10W   4S  15.8   CBET 1082       13 21 34.92 +42 16 50.0   IAUC 8874        ?     2007kc  Villi
2007kb  Anon.            2007 09 13  20 52.4 +00 17             21.4   CBET 1081       20 52 24.71 +00 16 39.6   CBET 1081        Ia    2007kb  Sloan Digital Sky Survey II
2007ka  Anon.            2007 09 05  01 21.4 -00 01             21.1   CBET 1081       01 21 22.70 -00 00 53.3   CBET 1081        Ia    2007ka  Sloan Digital Sky Survey II
2007jz  Anon.            2007 09 05  01 23.9 +01 15             21.7   CBET 1081       01 23 56.01 +01 15 18.0   CBET 1081        Ia    2007jz  Sloan Digital Sky Survey II
2007jy  Anon.            2007 09 03  20 51.4 +00 24             20.7   CBET 1081       20 51 21.43 +00 23 57.8   CBET 1081        Ib?   2007jy  Sloan Digital Sky Survey II
2007jx  Anon.            2007 09 15  20 02.5 +00 22             21.0   CBET 1079       20 02 32.82 +00 22 18.1   CBET 1079        Ia    2007jx  Sloan Digital Sky Survey II
2007jw  Anon.            2007 09 14  02 02.5 -01 05             21.6   CBET 1079       02 02 32.74 -01 05 21.0   CBET 1079        Ia    2007jw  Sloan Digital Sky Survey II
2007jv  Anon.            2007 09 14  00 15.6 -00 23             21.0   CBET 1079       00 15 36.91 -00 23 21.6   CBET 1079        Ia?   2007jv  Sloan Digital Sky Survey II
2007ju  Anon.            2007 09 14  00 11.8 -00 20             19.9   CBET 1079       00 11 50.46 -00 20 21.1   CBET 1079        Ia    2007ju  Sloan Digital Sky Survey II
2007jt  Anon.            2007 09 12  02 28.5 -01 03             20.4   CBET 1079       02 28 32.78 -01 02 31.6   CBET 1079        Ia    2007jt  Sloan Digital Sky Survey II
2007js  Anon.            2007 09 05  20 36.8 +00 06             20.2   CBET 1079       20 36 48.67 +00 05 54.4   CBET 1079        Ia    2007js  Sloan Digital Sky Survey II
2007jr  Anon.            2007 09 04  02 23.0 +01 02             18.8   CBET 1079       02 22 57.28 +01 01 32.7   CBET 1079        Ia    2007jr  Sloan Digital Sky Survey II
2007jq  Anon.            2007 09 04  00 12.0 +01 00             20.1   CBET 1079       00 11 58.61 +00 59 53.4   CBET 1079        Ia    2007jq  Sloan Digital Sky Survey II
2007jp  Anon.            2007 09 03  23 44.7 -00 02             20.4   CBET 1079       23 44 41.24 -00 01 48.3   CBET 1079        Ia    2007jp  Sloan Digital Sky Survey II
